ZIP3,Lat,Lon
10,42.22159842,-72.57355816
11,42.10577295,-72.58373891
12,42.39659452,-73.23757603
13,42.57895574,-72.54004426
14,42.56623253,-71.6967241
15,42.24197516,-71.76761484
16,42.26459123,-71.79338084
17,42.33511609,-71.41725034
18,42.60905578,-71.20474104
19,42.55964044,-70.9448446
20,42.18647637,-71.14535043
21,42.35170427,-71.07717596
22,42.35386118,-71.06993122
23,42.07787459,-70.96676733
24,42.35635691,-71.1822087
25,41.61678456,-70.56772206
26,41.71246484,-70.23067692
27,41.77048621,-71.09835991
28,41.70319953,-71.46661189
29,41.8087759,-71.42421299
30,42.84900883,-71.43806364
31,42.99436347,-71.4652
32,43.48417588,-71.60856181
33,43.2209,-71.55933
34,42.93445679,-72.20745802
35,44.5527,-71.45347544
36,43.21538636,-72.30859091
37,43.68600566,-72.16861698
38,43.24875168,-71.02708603
39,43.18603846,-70.71189487
40,43.70327886,-70.459
41,43.65348226,-70.26322312
42,44.27333841,-70.36711325
43,44.28428242,-69.79427473
44,45.02228895,-68.79468837
45,43.95624528,-69.61855849
46,44.59146195,-68.03332566
47,46.72181325,-68.11694217
48,44.15387451,-69.11161961
49,44.70606,-69.65431842
50,43.7951267,-72.35990682
51,43.28894746,-72.55720508
52,43.06891636,-73.12794727
53,42.94292113,-72.7295507
54,44.54390303,-73.10620947
56,44.3038876,-72.57091405
57,43.69014437,-73.07828411
58,44.67923333,-72.13329922
59,44.72667391,-71.66316957
60,41.9682,-73.4412
61,41.5522,-73.0443
62,41.6929,-72.3122
63,41.6163,-72.0827
64,41.3877,-72.4336
65,40.75607573,-72.78328693
66,41.1777,-73.1933
67,41.5522,-73.0443
68,41.0788,-73.4713
69,41.1003,-73.549
70,40.6674,-74.1146
71,40.7339,-74.1617
72,40.6965,-74.267
73,40.7148,-74.0371
74,41.0592,-74.1322
75,40.9125,-74.1653
76,40.887,-74.0391
77,40.3038,-73.9858
78,40.672,-74.7507
79,40.06206193,-74.22597178
80,39.36192889,-74.75292026
81,39.93994576,-75.10335695
82,39.0817,-74.8214
83,39.47426061,-75.01237929
84,39.3365,-74.4828
85,39.89411341,-74.45477726
86,40.22932944,-74.72748806
87,40.03073867,-74.191903
88,40.53162924,-74.5131388
89,40.48942037,-74.44261806
100,40.74525552,-73.98520233
101,40.74727355,-73.9830577
102,40.71726882,-74.00654353
103,40.60260336,-74.1228694
104,40.84227184,-73.88505434
105,41.11518994,-73.78099939
106,41.02528516,-73.77777387
107,40.94393272,-73.86919228
108,40.93233725,-73.78483333
109,41.211135,-74.11537659
110,40.74237028,-73.67615728
111,40.7491698,-73.94105235
112,40.66649174,-73.95393848
113,40.74291633,-73.86860143
114,40.69842097,-73.81199682
115,40.72620155,-73.62281814
116,40.60472791,-73.81473256
117,40.78807368,-73.30625937
118,40.75869444,-73.53503889
119,40.87343242,-72.71286301
